"j","n","method","ISE","time_seconds"
5,100,"WK",0.00062287484780256,9.40943098068237
5,100,"LG",0.000351908434790571,232.454170227051
5,200,"WK",0.0469268674272949,40.0653493404388
5,200,"LG",0.0860567671694192,887.124675989151
6,100,"WK",0.036107925835328,13.9203627109528
6,100,"LG",7.59190425070853e-05,55.6646389961243
6,200,"WK",0.0539511427259626,56.3419871330261
6,200,"LG",0.000171530723682766,184.977161645889
1,100,"WK",0.000495326729732478,20.1444799900055
1,100,"LG",0.0014238018776503,1167.58069467545
1,200,"WK",0.000478523850406145,153.286095380783
1,200,"LG",0.00130438071496911,340.961607933044
2,100,"WK",0.000829528096066592,209.328473806381
2,100,"LG",0.000731874944135542,59.1770985126495
2,200,"WK",0.000135084655431577,22.3828489780426
2,200,"LG",0.000709241845740705,1622.88584828377
3,100,"WK",0.002184482571508,40.9384965896606
3,100,"LG",1.65739797096101e-09,61.1833653450012
3,200,"WK",0.00544981057804227,184.090606212616
3,200,"LG",1.39264690682243e-09,197.10139465332
4,100,"WK",7.67127081885193e-12,9.92699694633484
4,100,"LG",1.20525593414511,933.748049736023
4,200,"WK",7.65617067278572e-12,22.1078910827637
4,200,"LG",7.27533830788643e-12,187.677409887314
5,100,"WK",0.133717171990727,37.6148097515106
5,100,"LG",0.000101548604268594,59.8318915367126
5,200,"WK",0.0314156542737815,37.7142775058746
5,200,"LG",5.11788758420549e-05,184.31515789032
6,100,"WK",0.000408680636495432,9.26993465423584
6,100,"LG",0.000269425191554424,56.4634017944336
6,200,"WK",0.00688540728938402,28.6452131271362
6,200,"LG",0.0941427001460883,736.008979558945
1,100,"WK",0.000357855628228934,22.6319580078125
1,100,"LG",0.000680854064722212,583.513545513153
1,200,"WK",0.000673380530746172,203.809339523315
1,200,"LG",0.000805923823443127,1690.41404223442
2,100,"WK",0.000135725491422361,9.23146486282349
2,100,"LG",0.000900737520362293,1160.34725928307
2,200,"WK",0.000689123734841829,94.2069170475006
2,200,"LG",0.00130830844399443,1721.43801927567
3,100,"WK",0.0390341926019431,85.1435189247131
3,100,"LG",1.11871345610129e-09,57.9691696166992
3,200,"WK",1.66493843243071e-09,21.8334317207336
3,200,"LG",0.000550901618114714,1959.57276058197
4,100,"WK",7.4421486946161e-12,9.3274519443512
4,100,"LG",5.69868030927682e-07,109.636902809143
4,200,"WK",7.73864241611864e-12,22.2024002075195
4,200,"LG",0.00783648685531754,703.099160671234
5,100,"WK",0.000358240426203543,9.44178104400635
5,100,"LG",6.62553586565732e-05,55.837611913681
5,200,"WK",0.130816147524907,56.7871479988098
5,200,"LG",0.00647087158274861,389.29626250267
6,100,"WK",0.00055042403146035,9.93866419792175
6,100,"LG",0.000138698707534876,58.627192735672
6,200,"WK",0.000541290140423971,22.0721399784088
6,200,"LG",0.00025671882468031,182.814465045929
1,100,"WK",0.000749774915904561,84.9604709148407
1,100,"LG",0.00100084437542326,661.536113739014
1,200,"WK",0.000678833188251484,111.750731945038
1,200,"LG",0.000830616392240773,943.234324932098
2,100,"WK",0.00162975164506258,64.1276638507843
2,100,"LG",0.000972699947601581,1161.38895940781
2,200,"WK",0.000829806928069432,108.286653995514
2,200,"LG",0.00148822607916662,1241.95798873901
3,100,"WK",9.84485026522656e-06,19.4826214313507
3,100,"LG",1.58693807679176e-09,60.9704809188843
3,200,"WK",0.00453412413982108,67.3938550949097
3,200,"LG",1.51763234308956e-09,190.224401473999
4,100,"WK",7.73864245032456e-12,9.55567479133606
4,100,"LG",0.119498708796326,587.928207397461
